Year,Month,State,Crop,Wholesale_Price[Rs. Per Quintal],Temperature (Celsis),Rainfall in mm
2022,7,Bihar,Barley,2832,1,134.7
2022,8,Bihar,Barley,2900,0.6,170.1
2022,9,Bihar,Barley,2884,0.5,206.2
2022,10,Bihar,Barley,2863,0.7,81.8
2022,11,Bihar,Barley,2848,-0.1,0
2022,12,Bihar,Barley,2794,0.3,0.1
2022,1,Bihar,Potato,1065,1.8,11.2
2022,2,Bihar,Potato,960,-1.1,28.8
2022,3,Bihar,Potato,1043,1.2,0.1
2022,4,Bihar,Potato,1130,1.6,10.8
2022,5,Bihar,Potato,1160,-0.6,78
2022,6,Bihar,Potato,1273,0.9,172.6
2022,7,Bihar,Potato,1504,1,134.7
2022,8,Bihar,Potato,1670,0.6,170.1
2022,9,Bihar,Potato,1700,0.5,206.2
2022,10,Bihar,Potato,1768,0.7,81.8
2022,11,Bihar,Potato,1700,-0.1,0
2022,12,Bihar,Potato,1392,0.3,0.1
2022,1,Bihar,Onion,2780,1.8,11.2
2022,2,Bihar,Onion,2970,-1.1,28.8
2022,3,Bihar,Onion,2813,1.2,0.1
2022,4,Bihar,Onion,1638,1.6,10.8
2022,5,Bihar,Onion,1308,-0.6,78
2022,6,Bihar,Onion,1243,0.9,172.6
2022,7,Bihar,Onion,1612,1,134.7
2022,8,Bihar,Onion,1720,0.6,170.1
2022,9,Bihar,Onion,1750,0.5,206.2
2022,10,Bihar,Onion,1828,0.7,81.8
2022,11,Bihar,Onion,2183,-0.1,0
2022,12,Bihar,Onion,1646,0.3,0.1
2022,1,Bihar,Chillies,9723,1.8,11.2
2022,2,Bihar,Chillies,9658,-1.1,28.8
2022,3,Bihar,Chillies,9778,1.2,0.1
2022,4,Bihar,Chillies,10000,1.6,10.8
2022,5,Bihar,Chillies,10400,-0.6,78
2022,6,Bihar,Chillies,10750,0.9,172.6
2022,7,Bihar,Chillies,11330,1,134.7
2022,8,Bihar,Chillies,11765,0.6,170.1
2022,9,Bihar,Chillies,11848,0.5,206.2
2022,10,Bihar,Chillies,11973,0.7,81.8
2022,11,Bihar,Chillies,11800,-0.1,0
2022,12,Bihar,Chillies,11580,0.3,0.1
2022,1,Bihar,Tomato,1633,1.8,11.2
2022,2,Bihar,Tomato,1070,-1.1,28.8
2022,3,Bihar,Tomato,930,1.2,0.1
2022,4,Bihar,Tomato,1288,1.6,10.8
2022,5,Bihar,Tomato,2418,-0.6,78
2022,6,Bihar,Tomato,3763,0.9,172.6
2022,7,Bihar,Tomato,3550,1,134.7
2022,8,Bihar,Tomato,3473,0.6,170.1
2022,9,Bihar,Tomato,4060,0.5,206.2
2022,10,Bihar,Tomato,4615,0.7,81.8
2022,11,Bihar,Tomato,2573,-0.1,0
2022,12,Bihar,Tomato,1232,0.3,0.1
2022,1,Gujarat,Rice,3525,0.2,1.8
2022,2,Gujarat,Rice,3591,0.8,0
2022,3,Gujarat,Rice,3531,2.1,0
2022,4,Gujarat,Rice,3510,1.8,0
2022,5,Gujarat,Rice,3444,1,0
2022,6,Gujarat,Rice,3306,0.5,51.5
2022,7,Gujarat,Rice,3510,-0.3,484.4
2022,8,Gujarat,Rice,3556,0,234.8
2022,9,Gujarat,Rice,3670,0.3,135.3
2022,10,Gujarat,Rice,3575,0.3,20.1
2022,11,Gujarat,Rice,3638,0.7,0
2022,12,Gujarat,Rice,3625,1.9,0.1
2022,1,Gujarat,Jower,2225,-0.2,1.8
2022,2,Gujarat,Jower,2538,2,0
2022,3,Gujarat,Jower,2626,1.5,0
2022,4,Gujarat,Jower,2516,0.3,0
2022,5,Gujarat,Jower,2494,0.1,0
2022,6,Gujarat,Jower,2575,-0.3,51.5
2022,7,Gujarat,Jower,2975,0.2,484.4
2022,8,Gujarat,Jower,3125,0.5,234.8
2022,9,Gujarat,Jower,3185,1,135.3
2022,10,Gujarat,Jower,3301,1.4,20.1
2022,11,Gujarat,Jower,3463,1.3,0
2022,12,Gujarat,Jower,3740,1.1,0.1
2022,1,Gujarat,Barje,1825,-0.2,1.8
2022,2,Gujarat,Barje,1819,2,0
2022,3,Gujarat,Barje,1750,1.5,0
2022,4,Gujarat,Barje,1761,0.3,0
2022,5,Gujarat,Barje,2006,0.1,0
2022,6,Gujarat,Barje,1950,-0.3,51.5
2022,7,Gujarat,Barje,1825,0.2,484.4
2022,8,Gujarat,Barje,1963,0.5,234.8
2022,9,Gujarat,Barje,1975,1,135.3
2022,10,Gujarat,Barje,1713,1.4,20.1
2022,11,Gujarat,Barje,1651,1.3,0
2022,12,Gujarat,Barje,1803,1.1,0.1
2022,1,Gujarat,Maize,1873,-0.2,1.8
2022,2,Gujarat,Maize,1901,2,0
2022,3,Gujarat,Maize,2103,1.5,0
2022,4,Gujarat,Maize,2229,0.3,0
2022,5,Gujarat,Maize,2206,0.1,0
2022,6,Gujarat,Maize,2206,-0.3,51.5
2022,7,Gujarat,Maize,2269,0.2,484.4
2022,8,Gujarat,Maize,2388,0.5,234.8
2022,9,Gujarat,Maize,2336,1,135.3
2022,10,Gujarat,Maize,2373,1.4,20.1
2022,11,Gujarat,Maize,2243,1.3,0
2022,12,Gujarat,Maize,2313,1.1,0.1
2022,1,Gujarat,Wheat,2025,-0.2,1.8
2022,2,Gujarat,Wheat,2013,2,0
2022,3,Gujarat,Wheat,2176,1.5,0
2022,4,Gujarat,Wheat,2570,0.3,0
2022,5,Gujarat,Wheat,2363,0.1,0
2022,6,Gujarat,Wheat,2281,-0.3,51.5
2022,7,Gujarat,Wheat,2206,0.2,484.4
2022,8,Gujarat,Wheat,2231,0.5,234.8
2022,9,Gujarat,Wheat,2303,1,135.3
2022,10,Gujarat,Wheat,2343,1.4,20.1
2022,11,Gujarat,Wheat,2663,1.3,0
2022,12,Gujarat,Wheat,2684,1.1,0.1
2022,1,Gujarat,Arhar(Tur Dal),7300,-0.2,1.8
2022,2,Gujarat,Arhar(Tur Dal),7438,2,0
2022,3,Gujarat,Arhar(Tur Dal),7200,1.5,0
2022,4,Gujarat,Arhar(Tur Dal),7340,0.3,0
